4484;0;0;1;0;
4734;0;0;0;1;
6750;1;0;0;0;
6844;0;0;1;0;
8187;0;0;0;1;
8640;0;0;1;0;
9344;1;0;0;0;
9578;0;1;0;0;
9812;0;0;0;1;
10047;0;0;1;0;
10312;1;0;0;0;
10547;0;0;0;1;
10797;1;0;0;0;
11047;0;0;0;1;
11250;1;0;0;0;
11890;0;0;0;1;
12140;0;0;1;0;
12344;1;0;0;0;
12562;0;0;0;1;
12969;0;0;1;0;
13125;1;0;0;0;
13328;0;0;0;1;
13515;1;0;0;0;
13750;0;0;0;1;
13937;1;0;0;0;
14187;0;0;0;1;
14390;0;0;1;0;
14562;1;0;0;0;
14797;0;0;0;1;
15078;1;0;0;0;
15672;0;0;0;1;
16125;0;0;1;0;
16344;1;0;0;0;
16562;0;0;0;1;
16812;0;0;1;0;
17015;1;0;0;0;
17203;0;0;0;1;
17390;1;0;0;0;
17594;0;0;0;1;
17828;0;0;1;0;
18047;1;0;0;0;
18281;0;0;0;1;
18500;0;0;1;0;
18703;0;1;0;0;
18890;0;0;1;0;
19328;1;0;0;0;
19578;0;0;0;1;
19781;1;0;0;0;
20031;0;0;0;1;
20437;0;0;1;0;
20625;0;1;0;0;
20797;0;0;1;0;
20969;1;0;0;0;
21187;0;0;0;1;
21375;1;0;0;0;
21625;0;0;0;1;
21797;1;0;0;0;
22078;0;0;1;0;
22312;0;1;0;0;
22500;0;0;0;1;
22672;1;0;0;0;
23109;0;0;0;1;
23219;0;0;1;0;
23453;1;0;0;0;
23719;0;0;0;1;
23937;0;0;1;0;
24297;0;1;0;0;
24469;1;0;0;0;
24703;0;0;0;1;
24890;1;0;0;0;
25109;0;0;0;1;
25328;0;0;1;0;
25531;0;1;0;0;
25719;1;0;0;0;
25906;0;0;0;1;
26109;1;0;0;0;
26328;0;0;0;1;
26531;0;0;1;0;
26859;0;1;0;0;
27109;1;0;0;0;
27297;0;0;0;1;
27469;1;0;0;0;
27703;0;0;0;1;
28047;0;0;1;0;
28250;0;1;0;0;
28469;0;0;1;0;
28656;0;1;0;0;
28828;1;0;0;0;
29047;0;0;0;1;
29234;0;0;1;0;
29453;0;1;0;0;
29625;1;0;0;0;
29859;0;0;0;1;
30031;1;0;0;0;
30250;0;0;0;1;
30578;0;0;1;0;
30875;0;1;0;0;
31109;1;0;0;0;
31312;0;0;0;1;
31500;0;0;1;0;
31765;0;1;0;0;
32156;1;0;0;0;
32406;0;0;0;1;
32640;0;0;1;0;
32969;1;0;0;0;
33375;0;0;0;1;
33890;0;0;0;1;
34359;1;0;0;0;
34797;0;0;0;1;
35297;0;0;1;0;
35750;1;0;0;0;
36234;0;0;0;1;
36578;0;0;1;0;
36781;0;1;0;0;
36984;0;0;1;0;
37281;0;1;0;0;
37531;0;0;1;0;
37953;1;0;0;0;
38515;0;0;0;1;
38797;0;0;1;0;
39047;0;1;0;0;
39250;0;0;1;0;
39515;0;1;0;0;
39734;1;0;0;0;
39984;0;0;0;1;
40265;0;0;1;0;
40640;0;1;0;0;
41672;1;0;0;0;
41906;0;0;0;1;
42109;0;0;1;0;
42359;0;1;0;0;
42812;1;0;0;0;
43234;1;0;0;0;
43609;0;0;0;1;
44109;0;0;1;0;
44640;1;0;0;0;
45109;1;0;0;0;
45609;0;0;0;1;
45859;0;1;0;0;
46109;1;0;0;0;
46484;0;0;0;1;
46734;1;0;0;0;
47187;0;0;0;1;
47406;0;0;1;0;
47672;0;1;0;0;
47984;1;0;0;0;
48297;0;0;0;1;
48609;1;0;0;0;
48875;0;0;0;1;
49078;0;0;1;0;
49390;0;1;0;0;
49734;1;0;0;0;
50015;0;0;0;1;
50265;1;0;0;0;
50500;0;0;0;1;
50750;0;0;1;0;
51078;0;1;0;0;
51297;1;0;0;0;
51625;0;0;0;1;
51875;0;0;1;0;
52109;0;1;0;0;
52422;1;0;0;0;
52656;0;0;0;1;
53094;0;0;1;0;
53422;1;0;0;0;
53734;0;0;0;1;
54000;0;0;1;0;
54187;0;1;0;0;
54359;1;0;0;0;
54547;0;0;0;1;
54750;1;0;0;0;
54922;0;0;0;1;
55109;0;0;1;0;
55328;0;1;0;0;
55515;0;0;1;0;
55719;1;0;0;0;
55922;0;0;1;0;
56172;0;0;0;1;
